start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2010,A Haunting on Hamilton Street,tt5297152,A Haunting on Hamilton Street,90.0,Documentary,5.5,82.0,en,A Haunting on Hamilton Street,2010-10-28,,,,,,,,,Unknown
2010,A Horrible Way to Die,tt1617620,A Horrible Way to Die,87.0,"Drama,Horror,Thriller",5.3,3147.0,en,A Horrible Way to Die,2010-11-06,,,,,,,,,75000
2010,A Little Help,tt1319722,A Little Help,109.0,"Comedy,Drama,Romance",5.7,2964.0,en,A Little Help,2010-07-22,,,,,,,,,Unknown
2010,A Marine Story,tt1447479,A Marine Story,98.0,"Crime,Drama,Romance",6.1,2027.0,en,A Marine Story,2010-11-05,,,,,,,,,Unknown
2010,A Nanny for Christmas,tt1572008,A Nanny for Christmas,90.0,Comedy,5.4,1430.0,en,A Nanny for Christmas,2010-11-23,,,,,,,,,Unknown
2010,A Nightmare on Elm Street,tt1179056,A Nightmare on Elm Street,95.0,"Crime,Drama,Horror",5.2,85497.0,en,A Nightmare on Elm Street,2010-04-30,,,,49.0,"Apr 30, 2010","$35,000,000","$63,075,011","$117,729,621",35000000
2010,A Numbers Game,tt1283542,A Numbers Game,76.0,Comedy,4.2,226.0,en,A Numbers Game,2010-04-15,,,,,,,,,Unknown
2010,A Small Act,tt1262958,A Small Act,88.0,Documentary,7.5,297.0,en,A Small Act,2010-01-01,,,,,,,,,Unknown
2010,A Yakuza's Daughter Never Cries,tt1547089,Doch yakudzy,81.0,Comedy,5.1,101.0,en,Doch yakudzy,2010-11-11,,,,,,,,,Unknown
2010,Absinthe,tt1590802,Absinthe,70.0,Documentary,6.8,85.0,en,Absinthe,2010-01-01,,,,,,,,,Unknown
2010,Adventure Scouts,tt0994917,Adventure Scouts,83.0,"Action,Adventure,Comedy",7.3,1591.0,en,Adventure Scouts,2010-05-02,,,,,,,,,Unknown
2010,Alice in Murderland,tt1753422,Alice in Murderland,90.0,"Horror,Thriller",1.9,852.0,en,Alice in Murderland,2010-02-05,,,,,,,,,Unknown
2010,Alice in Wonderland,tt1014759,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813.0,en,Alice in Wonderland,2010-03-05,,,,51.0,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110",200000000
2010,Alice in Wonderland,tt1014759,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813.0,en,Alice in Wonderland,2010-01-01,,,,51.0,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110",200000000
2010,Alice in Wonderland,tt2049386,Alice in Wonderland,99.0,"Fantasy,Musical",6.5,6.0,en,Alice in Wonderland,2010-03-05,,,,51.0,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110",200000000
2010,Alice in Wonderland,tt2049386,Alice in Wonderland,99.0,"Fantasy,Musical",6.5,6.0,en,Alice in Wonderland,2010-01-01,,,,51.0,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110",200000000
2010,Alien Vengeance II: Rogue Element,tt1637674,Alien Vengeance II: Rogue Element,78.0,Sci-Fi,4.2,37.0,en,Alien Vengeance II: Rogue Element,2010-11-07,,,,,,,,,Unknown
2010,Alien vs. Ninja,tt1592503,Alien vs. Ninja,80.0,"Action,Comedy,Fantasy",4.3,2063.0,en,Alien vs. Ninja,2010-07-30,,,,,,,,,600000
2010,All About Evil,tt1307858,All About Evil,98.0,"Comedy,Horror",6.2,1182.0,en,All About Evil,2010-05-01,,,,,,,,,Unknown
2010,All Alone,tt1270079,All Alone,90.0,Thriller,4.2,199.0,en,All Alone,2010-11-23,,,,,,,,,Unknown
2010,All American Zombie Drugs,tt1690545,All American Zombie Drugs,99.0,"Adventure,Comedy,Crime",3.5,220.0,en,All American Zombie Drugs,2010-07-25,,,,,,,,,Unknown
2010,All Good Things,tt1175709,All Good Things,101.0,"Crime,Drama,Mystery",6.3,49684.0,en,All Good Things,2010-12-03,Magn.,582000.0,62500,96.0,"Dec 3, 2010","$20,000,000","$582,024","$873,617",60000000
2010,All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall,tt1641917,All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall,102.0,"Biography,Documentary,Music",9.1,19.0,en,All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall,2010-09-28,,,,,,,,,Unknown
2010,All My Friends Are Funeral Singers,tt1524148,All My Friends Are Funeral Singers,84.0,"Comedy,Drama,Music",6.1,218.0,en,All My Friends Are Funeral Singers,2010-05-25,,,,,,,,,30000
2010,All That Glitters,tt1587877,Tout ce qui brille,100.0,Comedy,6.1,1873.0,en,All That Glitters,2010-09-25,,,,,,,,,Unknown
2010,All That Glitters,tt1594906,All That Glitters,,"Drama,Mystery,Thriller",6.9,9.0,en,All That Glitters,2010-09-25,,,,,,,,,Unknown
2010,All That Glitters,tt1718720,Mlceti zlato,90.0,"Documentary,Drama",8.3,16.0,en,All That Glitters,2010-09-25,,,,,,,,,Unknown
2010,Alleged,tt1516009,Alleged,94.0,"Drama,History,Romance",4.7,235.0,en,Alleged,2010-09-09,,,,,,,,,Unknown
2010,Almost Kings,tt1529346,Almost Kings,93.0,Drama,6.1,253.0,en,Almost Kings,2010-11-11,,,,,,,,,Unknown
